datetime,depth,variable,unit,observation
1/1/16 0:00,0,do,MilliGM-PER-L,8
1/1/16 0:00,1,do,MilliGM-PER-L,8
1/1/16 0:00,2,do,MilliGM-PER-L,8
1/1/16 0:00,3,do,MilliGM-PER-L,8
1/1/16 0:00,4,do,MilliGM-PER-L,8
1/1/16 0:00,5,do,MilliGM-PER-L,8
1/1/16 0:00,6,do,MilliGM-PER-L,8
1/1/16 0:00,7,do,MilliGM-PER-L,8
1/1/16 0:00,8,do,MilliGM-PER-L,8
1/1/16 0:00,9,do,MilliGM-PER-L,8
1/1/16 0:00,10,do,MilliGM-PER-L,8
1/1/16 0:00,11,do,MilliGM-PER-L,8
1/1/16 0:00,12,do,MilliGM-PER-L,8
1/1/16 0:00,13,do,MilliGM-PER-L,8
1/1/16 0:00,14,do,MilliGM-PER-L,8
1/1/16 0:00,15,do,MilliGM-PER-L,8
1/1/16 0:00,16,do,MilliGM-PER-L,8
1/1/16 0:00,17,do,MilliGM-PER-L,8
1/1/16 0:00,18,do,MilliGM-PER-L,8
1/1/16 0:00,19,do,MilliGM-PER-L,8
1/1/16 0:00,20,do,MilliGM-PER-L,8
1/1/16 0:00,21,do,MilliGM-PER-L,8
1/1/16 0:00,22,do,MilliGM-PER-L,8
1/1/16 0:00,23,do,MilliGM-PER-L,8
1/1/16 0:00,24,do,MilliGM-PER-L,8
1/1/16 0:00,25,do,MilliGM-PER-L,8
1/1/16 0:00,26,do,MilliGM-PER-L,8
1/1/16 0:00,27,do,MilliGM-PER-L,8
1/1/16 0:00,28,do,MilliGM-PER-L,8
1/1/16 0:00,29,do,MilliGM-PER-L,8
1/1/16 0:00,30,do,MilliGM-PER-L,8
1/1/16 0:00,31,do,MilliGM-PER-L,8
1/1/16 0:00,32,do,MilliGM-PER-L,8
1/1/16 0:00,33,do,MilliGM-PER-L,8
1/1/16 0:00,34,do,MilliGM-PER-L,8
1/1/16 0:00,35,do,MilliGM-PER-L,8
1/1/16 0:00,36,do,MilliGM-PER-L,8
1/1/16 0:00,37,do,MilliGM-PER-L,8
1/1/16 0:00,38,do,MilliGM-PER-L,8
1/1/16 0:00,39,do,MilliGM-PER-L,8
1/1/16 0:00,40,do,MilliGM-PER-L,8
1/1/16 0:00,41,do,MilliGM-PER-L,8
1/1/16 0:00,42,do,MilliGM-PER-L,8
1/1/16 0:00,43,do,MilliGM-PER-L,8
1/1/16 0:00,44,do,MilliGM-PER-L,8
1/1/16 0:00,45,do,MilliGM-PER-L,8
1/1/16 0:00,46,do,MilliGM-PER-L,8
1/1/16 0:00,47,do,MilliGM-PER-L,8
1/1/16 0:00,48,do,MilliGM-PER-L,8
1/1/16 0:00,49,do,MilliGM-PER-L,8
1/1/16 0:00,50,do,MilliGM-PER-L,8
1/1/16 0:00,51,do,MilliGM-PER-L,8
1/1/16 0:00,52,do,MilliGM-PER-L,8
1/1/16 0:00,53,do,MilliGM-PER-L,8
1/1/16 0:00,54,do,MilliGM-PER-L,8
1/1/16 0:00,55,do,MilliGM-PER-L,8
1/1/16 0:00,56,do,MilliGM-PER-L,8
1/1/16 0:00,57,do,MilliGM-PER-L,8
1/1/16 0:00,58,do,MilliGM-PER-L,8
1/1/16 0:00,59,do,MilliGM-PER-L,8
1/1/16 0:00,60,do,MilliGM-PER-L,8
1/1/16 0:00,61,do,MilliGM-PER-L,8
1/1/16 0:00,62,do,MilliGM-PER-L,8
1/1/16 0:00,63,do,MilliGM-PER-L,8
1/1/16 0:00,64,do,MilliGM-PER-L,8
1/1/16 0:00,65,do,MilliGM-PER-L,8
1/1/16 0:00,66,do,MilliGM-PER-L,8
1/1/16 0:00,67,do,MilliGM-PER-L,8
1/1/16 0:00,68,do,MilliGM-PER-L,8
1/1/16 0:00,69,do,MilliGM-PER-L,8
1/1/16 0:00,70,do,MilliGM-PER-L,8
1/1/16 0:00,71,do,MilliGM-PER-L,8
1/1/16 0:00,72,do,MilliGM-PER-L,8
1/1/16 0:00,73,do,MilliGM-PER-L,8
1/1/16 0:00,74,do,MilliGM-PER-L,8
1/1/16 0:00,75,do,MilliGM-PER-L,8
1/1/16 0:00,76,do,MilliGM-PER-L,8
1/1/16 0:00,77,do,MilliGM-PER-L,8
1/1/16 0:00,78,do,MilliGM-PER-L,8
1/1/16 0:00,79,do,MilliGM-PER-L,8
1/1/16 0:00,80,do,MilliGM-PER-L,8
1/1/16 0:00,0,doc,MilliGM-PER-L,1
1/1/16 0:00,10,doc,MilliGM-PER-L,1
1/1/16 0:00,20,doc,MilliGM-PER-L,1
1/1/16 0:00,30,doc,MilliGM-PER-L,1
1/1/16 0:00,40,doc,MilliGM-PER-L,1
1/1/16 0:00,50,doc,MilliGM-PER-L,1
1/1/16 0:00,60,doc,MilliGM-PER-L,1
1/1/16 0:00,70,doc,MilliGM-PER-L,1
1/1/16 0:00,80,doc,MilliGM-PER-L,1
